Classes,precision,recall,f1-score,support
0,0.916666667,0.916666667,0.916666667,252
1,0.8,0.770491803,0.784968685,244
2,0.768339768,0.799196787,0.783464567,249
3,0.951020408,0.947154472,0.949083503,246
4,0.807843137,0.851239669,0.828973843,242
5,0.838951311,0.868217054,0.853333333,258
6,0.75464684,0.831967213,0.791423002,244
7,0.980544747,0.947368421,0.963671128,266
8,0.946768061,0.988095238,0.966990291,252
9,0.930656934,0.969581749,0.94972067,263
10,0.964285714,0.96812749,0.966202783,251
11,0.840740741,0.900793651,0.869731801,252
12,0.894545455,0.9609375,0.926553672,256
13,0.852534562,0.777310924,0.813186813,238
14,0.852589641,0.852589641,0.852589641,251
15,0.821862348,0.863829787,0.842323651,235
16,0.888030888,0.905511811,0.89668616,254
17,0.799212598,0.812,0.805555556,250
18,0.972440945,0.98015873,0.976284585,252
19,0.964912281,0.936170213,0.950323974,235
20,0.976833977,0.992156863,0.984435798,255
21,0.992217899,0.984555985,0.988372093,259
22,0.975609756,0.991735537,0.983606557,242
23,0.98,0.976095618,0.978043912,251
24,0.732075472,0.811715481,0.76984127,239
25,0.842696629,0.914634146,0.877192982,246
26,0.842342342,0.724806202,0.779166667,258
27,0.80155642,0.847736626,0.824,243
28,0.852534562,0.829596413,0.840909091,223
29,0.913242009,0.757575758,0.82815735,264
30,0.918367347,0.957446809,0.9375,235
31,0.849420849,0.827067669,0.838095238,266
32,0.864,0.874493927,0.869215292,247
33,0.95703125,0.949612403,0.953307393,258
34,0.941908714,0.953781513,0.947807933,238
35,0.812977099,0.87295082,0.841897233,244
36,0.951965066,0.923728814,0.937634409,236
37,0.896995708,0.867219917,0.88185654,241
38,0.86328125,0.856589147,0.859922179,258
39,0.848605578,0.83203125,0.840236686,256
40,0.987551867,1,0.993736952,238
41,0.816479401,0.810408922,0.813432836,269
42,0.813186813,0.874015748,0.842504744,254
43,0.904958678,0.85546875,0.879518072,256
44,0.698630137,0.593023256,0.641509434,258
45,0.762886598,0.880952381,0.817679558,252
46,0.673170732,0.570247934,0.617449664,242
47,0.832684825,0.899159664,0.864646465,238
48,0.729241877,0.77992278,0.753731343,259
49,0.728873239,0.805447471,0.765249538,257
50,0.79047619,0.6484375,0.712446352,256
51,0.934693878,0.942386831,0.93852459,243
52,0.829787234,0.966942149,0.893129771,242
53,0.920863309,0.951672862,0.936014625,269
54,0.992156863,0.996062992,0.99410609,254
55,0.782608696,0.874493927,0.826003824,247
56,0.885714286,0.815789474,0.849315068,266
57,0.928571429,0.736842105,0.821670429,247
58,0.682008368,0.654618474,0.668032787,249
59,0.867647059,0.925490196,0.895635674,255
60,0.925438596,0.764492754,0.837301587,276
61,0.654471545,0.631372549,0.642714571,255
62,0.850980392,0.789090909,0.818867925,275
63,0.980916031,0.969811321,0.975332068,265
64,0.915057915,0.92578125,0.92038835,256
65,0.917602996,0.953307393,0.935114504,257
66,0.979423868,0.940711462,0.959677419,253
67,0.926530612,0.986956522,0.955789474,230
68,0.959016393,0.943548387,0.951219512,248
69,0.967272727,0.985185185,0.976146789,270
70,0.735177866,0.775,0.754563895,240
71,0.841004184,0.817073171,0.828865979,246
72,0.782051282,0.7625,0.772151899,240
73,0.850746269,0.919354839,0.88372093,248
74,0.987551867,0.944444444,0.965517241,252
75,0.960474308,0.995901639,0.977867203,244
76,1,1,1,253
77,0.879166667,0.84063745,0.859470468,251
78,0.87704918,0.816793893,0.845849802,262
79,0.937254902,0.987603306,0.961770624,242
80,0.972440945,0.961089494,0.966731898,257
81,0.926470588,0.976744186,0.950943396,258
82,0.988505747,0.988505747,0.988505747,261
83,0.984555985,1,0.992217899,255
84,0.96875,0.995983936,0.982178218,249
85,0.934343434,0.852534562,0.891566265,217
86,0.802919708,0.873015873,0.836501901,252
87,0.96812749,0.960474308,0.964285714,253
88,0.932539683,0.886792453,0.909090909,265
89,0.660714286,0.76446281,0.708812261,242
90,0.584745763,0.554216867,0.569072165,249
91,0.772563177,0.823076923,0.797020484,260
92,0.760504202,0.69348659,0.725450902,261
93,0.864150943,0.93852459,0.899803536,244
94,0.882575758,0.943319838,0.911937378,247
95,0.740740741,0.711462451,0.725806452,253
96,0.933884298,0.914979757,0.924335378,247
97,0.876984127,0.887550201,0.882235529,249
98,0.882926829,0.741803279,0.80623608,244
99,0.937759336,0.945606695,0.941666667,239
100,0.951417004,0.979166667,0.965092402,240
101,0.961977186,0.973076923,0.96749522,260
102,0.981273408,0.945848375,0.963235294,277
103,0.988,0.988,0.988,250
104,0.92244898,0.933884298,0.928131417,242
105,0.964,0.964,0.964,250
106,1,0.971544715,0.98556701,246
107,0.975708502,0.991769547,0.983673469,243
108,0.798245614,0.686792453,0.738336714,265
109,0.909803922,0.966666667,0.937373737,240
110,0.846153846,0.965648855,0.901960784,262
111,0.973782772,0.977443609,0.975609756,266
112,0.952941176,0.938223938,0.945525292,259
113,0.985185185,0.996254682,0.990689013,267
114,0.991869919,0.995918367,0.99389002,245
115,0.65625,0.691358025,0.673346693,243
116,0.717741935,0.726530612,0.722109533,245
117,0.854700855,0.766283525,0.808080808,261
118,0.963414634,0.979338843,0.971311475,242
119,0.988095238,0.97265625,0.980314961,256
120,0.983805668,0.987804878,0.985801217,246
121,0.853383459,0.869731801,0.861480076,261
122,0.851239669,0.817460317,0.834008097,252
123,0.964705882,0.9609375,0.962818004,256
124,0.913533835,0.956692913,0.934615385,254
125,0.972111554,0.938461538,0.954990215,260
126,0.852517986,0.936758893,0.892655367,253
127,0.917391304,0.864754098,0.890295359,244
128,0.988326848,0.996078431,0.9921875,255
129,0.827731092,0.781746032,0.804081633,252
130,0.881533101,0.947565543,0.913357401,267
131,0.692913386,0.671755725,0.682170543,262
132,0.785454545,0.915254237,0.845401174,236
133,0.943396226,0.778210117,0.852878465,257
134,0.996031746,0.992094862,0.994059406,253
135,0.975806452,0.979757085,0.977777778,247
136,0.966666667,0.978902954,0.972746331,237
137,0.796791444,0.613168724,0.693023256,243
138,0.898395722,0.714893617,0.796208531,235
139,0.975409836,0.959677419,0.967479675,248
140,0.722943723,0.67611336,0.69874477,247
141,0.768115942,0.809160305,0.788104089,262
142,0.768181818,0.704166667,0.734782609,240
143,0.786729858,0.653543307,0.713978495,254
144,0.638795987,0.782786885,0.703499079,244
145,0.679069767,0.584,0.627956989,250
146,0.93442623,0.930612245,0.932515337,245
147,0.756,0.825327511,0.78914405,229
148,0.892857143,0.819672131,0.854700855,244
149,0.457912458,0.569037657,0.507462687,239
150,0.815384615,0.812260536,0.813819578,261
151,0.960474308,0.927480916,0.94368932,262
152,0.843137255,0.947136564,0.892116183,227
153,0.770750988,0.789473684,0.78,247
154,0.78,0.730337079,0.754352031,267
155,0.879166667,0.864754098,0.871900826,244
156,0.704225352,0.595238095,0.64516129,252
157,0.779166667,0.80952381,0.794055202,231
158,0.93697479,0.93697479,0.93697479,238
159,0.84279476,0.784552846,0.812631579,246
160,0.834586466,0.956896552,0.891566265,232
161,0.988,1,0.993963783,247
162,0.917293233,0.979919679,0.947572816,249
163,0.913043478,0.916666667,0.914851485,252
164,0.94017094,0.887096774,0.912863071,248
165,0.816143498,0.78111588,0.798245614,233
166,0.765734266,0.862204724,0.811111111,254
167,0.877637131,0.742857143,0.804642166,280
168,0.840425532,0.672340426,0.747044917,235
169,0.842307692,0.948051948,0.892057026,231
170,0.884,0.936440678,0.909465021,236
171,0.797709924,0.806949807,0.802303263,259
172,0.724137931,0.771428571,0.747035573,245
173,0.812765957,0.764,0.787628866,250
174,0.888030888,0.867924528,0.877862595,265
175,0.90625,0.845833333,0.875,240
176,0.969811321,0.958955224,0.96435272,268
177,0.93495935,0.974576271,0.954356846,236
178,0.953488372,0.964705882,0.959064327,255
179,0.909465021,0.880478088,0.894736842,251
180,0.704453441,0.728033473,0.716049383,239
181,0.757352941,0.847736626,0.8,243
182,0.874476987,0.853061224,0.863636364,245
183,0.951020408,0.924603175,0.937625755,252
184,0.820224719,0.893877551,0.85546875,245
185,0.9375,0.905660377,0.921305182,265
186,0.701149425,0.778723404,0.737903226,235
187,0.7,0.761506276,0.729458918,239
188,0.832713755,0.896,0.863198459,250
189,0.903361345,0.86,0.881147541,250
avg / total,0.869432878,0.868105263,0.86747802,47500
